year,Region,Attack.Type,Percentage
1981,Central Asia,Bombing/Explosion,0
1981,Central Asia,Facility/Infrastructure Attack,0
1981,Central Asia,Hostage taking/assassinaton,0
1981,Central Asia,Other,0
1981,Europe,Armed Assault,50
1981,Europe,Bombing/Explosion,233
1981,Europe,Facility/Infrastructure Attack,31
1981,Europe,Hostage taking/assassinaton,156
1981,Europe,Other,18
1981,MENA,Armed Assault,31
1981,MENA,Bombing/Explosion,176
1981,MENA,Facility/Infrastructure Attack,11
1981,MENA,Hostage taking/assassinaton,83
1981,MENA,Other,11
1981,North America,Armed Assault,8
1981,North America,Bombing/Explosion,42
1981,North America,Facility/Infrastructure Attack,9
1981,North America,Hostage taking/assassinaton,9
1981,North America,Other,8
1981,South America,Armed Assault,83
1981,South America,Bombing/Explosion,179
1981,South America,Facility/Infrastructure Attack,26
1981,South America,Hostage taking/assassinaton,71
1981,South America,Other,24
1981,South Asia,Armed Assault,0
1981,South Asia,Bombing/Explosion,10
1981,South Asia,Facility/Infrastructure Attack,1
1981,South Asia,Hostage taking/assassinaton,8
1981,South Asia,Other,4
1981,Sub-Saharan Africa,Armed Assault,4
1981,Sub-Saharan Africa,Bombing/Explosion,63
1981,Sub-Saharan Africa,Facility/Infrastructure Attack,11
1981,Sub-Saharan Africa,Hostage taking/assassinaton,14
1981,Sub-Saharan Africa,Other,6
1982,Asia-Pacific,Armed Assault,7
1982,Asia-Pacific,Bombing/Explosion,17
1982,Asia-Pacific,Facility/Infrastructure Attack,8
1982,Asia-Pacific,Hostage taking/assassinaton,9
1982,Asia-Pacific,Other,7
1982,Central America & Caribbean,Armed Assault,445
1982,Central America & Caribbean,Bombing/Explosion,302
1982,Central America & Caribbean,Facility/Infrastructure Attack,55
1982,Central America & Caribbean,Hostage taking/assassinaton,170
1982,Central America & Caribbean,Other,24
1982,Central Asia,Armed Assault,0
1982,Central Asia,Bombing/Explosion,0
1982,Central Asia,Facility/Infrastructure Attack,0
1982,Central Asia,Hostage taking/assassinaton,0
1982,Central Asia,Other,0
1982,Europe,Armed Assault,16
1982,Europe,Bombing/Explosion,256
1982,Europe,Facility/Infrastructure Attack,10
1982,Europe,Hostage taking/assassinaton,117
1982,Europe,Other,6
1982,MENA,Armed Assault,40
1982,MENA,Bombing/Explosion,182
1982,MENA,Facility/Infrastructure Attack,5
1982,MENA,Hostage taking/assassinaton,60
1982,MENA,Other,4
1982,North America,Armed Assault,1
1982,North America,Bombing/Explosion,45
1982,North America,Facility/Infrastructure Attack,7
1982,North America,Hostage taking/assassinaton,14
1982,North America,Other,19
1982,South America,Armed Assault,150
1982,South America,Bombing/Explosion,274
1982,South America,Facility/Infrastructure Attack,55
1982,South America,Hostage taking/assassinaton,127
1982,South America,Other,33
1982,South Asia,Armed Assault,1
1982,South Asia,Bombing/Explosion,9
1982,South Asia,Facility/Infrastructure Attack,0
1982,South Asia,Hostage taking/assassinaton,6
1982,South Asia,Other,4
1982,Sub-Saharan Africa,Armed Assault,3
1982,Sub-Saharan Africa,Bombing/Explosion,37
1982,Sub-Saharan Africa,Facility/Infrastructure Attack,2
1982,Sub-Saharan Africa,Hostage taking/assassinaton,11
1982,Sub-Saharan Africa,Other,7
1983,Asia-Pacific,Armed Assault,5
1983,Asia-Pacific,Bombing/Explosion,14
1983,Asia-Pacific,Facility/Infrastructure Attack,10
1983,Asia-Pacific,Hostage taking/assassinaton,4
1983,Asia-Pacific,Other,2
1983,Central America & Caribbean,Armed Assault,529
1983,Central America & Caribbean,Bombing/Explosion,205
1983,Central America & Caribbean,Facility/Infrastructure Attack,22
1983,Central America & Caribbean,Hostage taking/assassinaton,74
1983,Central America & Caribbean,Other,28
1983,Central Asia,Armed Assault,0
1983,Central Asia,Bombing/Explosion,0
1983,Central Asia,Facility/Infrastructure Attack,0
1983,Central Asia,Hostage taking/assassinaton,0
1983,Central Asia,Other,0
1983,Europe,Armed Assault,19
1983,Europe,Bombing/Explosion,293
1983,Europe,Facility/Infrastructure Attack,38
1983,Europe,Hostage taking/assassinaton,117
1983,Europe,Other,10
1983,MENA,Armed Assault,52
1983,MENA,Bombing/Explosion,233
1983,MENA,Facility/Infrastructure Attack,10
